date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:27	791/791	---MCZ	200	added ('OK')	text/plain	date:Sat,%2029%20Mar%202025%2004:29:26%20GMT	https://www.instagram.com/robots.txt		(from )
11:29:27	567973/567973	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:26%20GMT	https://www.instagram.com/paradise_pai/	./instagram-download/paradise_pai/index.html	(from )
11:29:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Mar%202025%2004:29:27%20GMT	https://www.instagram.com/paradise_pai/theaustralian.com.au	./instagram-download/paradise_pai/theaustralian.com.au	(from https://www.instagram.com/paradise_pai/)
11:29:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Mar%202025%2004:29:28%20GMT	https://www.instagram.com/paradise_pai/news.com.au	./instagram-download/paradise_pai/news.com.au	(from https://www.instagram.com/paradise_pai/)
11:29:29	567794/567794	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:29%20GMT	https://www.instagram.com/paradise_pai/?hl=en	./instagram-download/paradise_pai/indexfef7.html	(from https://www.instagram.com/paradise_pai/)
11:29:29	570552/570552	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:29%20GMT	https://www.instagram.com/paradise_pai/?hl=de	./instagram-download/paradise_pai/index0016.html	(from https://www.instagram.com/paradise_pai/)
11:29:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Mar%202025%2004:29:30%20GMT	https://www.instagram.com/paradise_pai/kollosche.com.au	./instagram-download/paradise_pai/kollosche.com.au	(from https://www.instagram.com/paradise_pai/)
11:29:31	1996026/1996026	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:29%20GMT	https://www.instagram.com/paradise_pai/?hl=it	./instagram-download/paradise_pai/indexa209.html	(from https://www.instagram.com/paradise_pai/)
11:29:31	1999394/1999394	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:29%20GMT	https://www.instagram.com/paradise_pai/?hl=fr	./instagram-download/paradise_pai/index7d7c.html	(from https://www.instagram.com/paradise_pai/)
11:29:31	579718/579718	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:31%20GMT	https://www.instagram.com/paradise_pai/?hl=zh-cn	./instagram-download/paradise_pai/index0b8e.html	(from https://www.instagram.com/paradise_pai/)
11:29:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Mar%202025%2004:29:32%20GMT	https://www.instagram.com/paradise_pai/awstrack.me	./instagram-download/paradise_pai/awstrack.me	(from https://www.instagram.com/paradise_pai/)
11:29:33	1997857/1997857	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:31%20GMT	https://www.instagram.com/paradise_pai/?hl=es	./instagram-download/paradise_pai/indexde3a.html	(from https://www.instagram.com/paradise_pai/)
11:29:33	579038/579038	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:33%20GMT	https://www.instagram.com/paradise_pai/?hl=zh-tw	./instagram-download/paradise_pai/indexf854.html	(from https://www.instagram.com/paradise_pai/)
11:29:33	590820/590820	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:33%20GMT	https://www.instagram.com/paradise_pai/?hl=ja	./instagram-download/paradise_pai/index9e29.html	(from https://www.instagram.com/paradise_pai/)
11:29:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Mar%202025%2004:29:34%20GMT	https://www.instagram.com/paradise_pai/2GasTq	./instagram-download/paradise_pai/2GasTq	(from https://www.instagram.com/paradise_pai/)
11:29:35	2013506/2013506	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:33%20GMT	https://www.instagram.com/paradise_pai/?hl=ko	./instagram-download/paradise_pai/index232e.html	(from https://www.instagram.com/paradise_pai/)
11:29:35	572442/572442	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:35%20GMT	https://www.instagram.com/paradise_pai/?hl=pt	./instagram-download/paradise_pai/index28b7.html	(from https://www.instagram.com/paradise_pai/)
11:29:35	601843/601843	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:35%20GMT	https://www.instagram.com/paradise_pai/?hl=pt-br	./instagram-download/paradise_pai/index6dd3.html	(from https://www.instagram.com/paradise_pai/)
11:29:35	569184/569184	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:35%20GMT	https://www.instagram.com/paradise_pai/?hl=af	./instagram-download/paradise_pai/indexc581.html	(from https://www.instagram.com/paradise_pai/)
11:29:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Mar%202025%2004:29:36%20GMT	https://www.instagram.com/paradise_pai/vzy417	./instagram-download/paradise_pai/vzy417	(from https://www.instagram.com/paradise_pai/)
11:29:37	581849/581849	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:37%20GMT	https://www.instagram.com/paradise_pai/?hl=cs	./instagram-download/paradise_pai/index539c.html	(from https://www.instagram.com/paradise_pai/)
11:29:37	569362/569362	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:37%20GMT	https://www.instagram.com/paradise_pai/?hl=da	./instagram-download/paradise_pai/indexecc8.html	(from https://www.instagram.com/paradise_pai/)
11:29:37	642179/642179	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:37%20GMT	https://www.instagram.com/paradise_pai/?hl=el	./instagram-download/paradise_pai/indexaaeb.html	(from https://www.instagram.com/paradise_pai/)
11:29:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Mar%202025%2004:29:38%20GMT	https://www.instagram.com/paradise_pai/a6wZSt	./instagram-download/paradise_pai/a6wZSt	(from https://www.instagram.com/paradise_pai/)
11:29:39	1998540/1998540	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:37%20GMT	https://www.instagram.com/paradise_pai/?hl=fi	./instagram-download/paradise_pai/indexdc29.html	(from https://www.instagram.com/paradise_pai/)
11:29:39	572059/572059	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:39%20GMT	https://www.instagram.com/paradise_pai/?hl=hu	./instagram-download/paradise_pai/indexc91a.html	(from https://www.instagram.com/paradise_pai/)
11:29:39	575442/575442	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:39%20GMT	https://www.instagram.com/paradise_pai/?hl=hr	./instagram-download/paradise_pai/index014b.html	(from https://www.instagram.com/paradise_pai/)
11:29:39	562392/562392	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2004:29:39%20GMT	https://www.instagram.com/paradise_pai/?hl=id	./instagram-download/paradise_pai/index0cf2.html	(from https://www.instagram.com/paradise_pai/)
